"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0K291","2019-09-22 00:00:00","8.000","69.000","2.300","23.800","0.750","1007.200","","0.000","-99.000","-99.000","-99.000","28.000","","23.400",""
"C0D480","2019-09-22 00:00:00","223.000","0.000","0.000","20.100","0.990","983.000","","24.500","-99.000","-99.000","-99.000","22.400","","18.400",""
"C0F0C0","2019-09-22 00:00:00","983.000","27.000","1.600","16.900","0.990","900.500","","2.000","-99.000","-99.000","-99.000","19.100","","15.100",""
"C0U860","2019-09-22 00:00:00","5.000","267.000","2.300","24.600","0.660","1007.100","","0.500","-99.000","-99.000","-99.000","24.700","","21.500",""
"C0UA50","2019-09-22 00:00:00","808.000","329.000","2.900","17.700","0.990","919.200","","19.000","8.700","339.000","","20.900","","17.400",""
"C0T960","2019-09-22 00:00:00","120.000","0.000","0.000","23.600","0.990","994.000","","22.500","-99.000","-99.000","-99.000","32.100","","23.400",""
"C0SA80","2019-09-22 00:00:00","136.000","0.000","0.000","23.500","0.990","992.500","","51.000","-99.000","-99.000","-99.000","30.600","","23.300",""
"C0E780","2019-09-22 00:00:00","160.000","191.000","0.600","20.600","0.960","990.200","","1.000","-99.000","-99.000","-99.000","26.400","","20.100",""
"C0F9Q0","2019-09-22 00:00:00","149.000","75.000","5.700","23.400","0.740","990.100","","0.000","15.200","54.000","","26.100","","20.900",""
"C0F9X0","2019-09-22 00:00:00","166.000","71.000","3.300","22.500","0.790","989.900","","0.000","9.800","59.000","","25.600","","20.700",""
"C0F0D0","2019-09-22 00:00:00","3171.000","0.000","0.200","9.800","1.000","696.200","","38.000","-99.000","-99.000","-99.000","11.700","","8.400",""
"C0S730","2019-09-22 00:00:00","110.000","48.000","5.500","25.100","0.920","994.900","","0.000","-99.000","-99.000","-99.000","30.200","","24.700",""
"C0T790","2019-09-22 00:00:00","2830.000","280.000","0.600","11.200","0.990","725.300","","4.000","-99.000","-99.000","-99.000","17.000","","9.900",""
"C0M830","2019-09-22 00:00:00","540.000","340.000","2.700","21.100","0.990","949.000","","0.000","-99.000","-99.000","-99.000","23.300","","19.200",""
"C0V750","2019-09-22 00:00:00","50.000","18.000","2.800","24.400","0.790","1003.100","","0.000","-99.000","-99.000","-99.000","29.600","","24.400",""
"C0K530","2019-09-22 00:00:00","12.000","82.000","2.000","23.200","0.770","1006.600","","0.000","-99.000","-99.000","-99.000","27.100","","22.700",""
"C0G850","2019-09-22 00:00:00","62.000","56.000","3.100","24.200","0.780","1000.100","","0.000","-99.000","-99.000","-99.000","28.700","","23.500",""
"C0M780","2019-09-22 00:00:00","30.000","65.000","2.600","23.500","0.760","1004.600","","0.000","-99.000","-99.000","-99.000","28.600","","22.700",""
"C0K510","2019-09-22 00:00:00","10.000","68.000","3.200","23.800","0.740","1005.900","","0.000","-99.000","-99.000","-99.000","28.100","","23.100",""
"C0D650","2019-09-22 00:00:00","97.000","154.000","2.000","22.300","0.800","997.600","","6.500","-99.000","-99.000","-99.000","23.500","","19.400",""
"C0V630","2019-09-22 00:00:00","19.000","24.000","1.600","24.300","0.680","1007.800","","0.000","-99.000","-99.000","-99.000","28.000","","23.900",""
"C0U910","2019-09-22 00:00:00","17.000","274.000","1.900","24.300","0.690","1005.900","","42.000","-99.000","-99.000","-99.000","26.500","","22.300",""
"C0U600","2019-09-22 00:00:00","10.000","0.000","0.200","23.900","0.720","1005.900","","1.000","-99.000","-99.000","-99.000","25.500","","22.200",""
"C0G820","2019-09-22 00:00:00","29.000","0.000","0.000","24.000","0.790","1004.000","","0.000","-99.000","-99.000","-99.000","29.700","","23.100",""
"C0R590","2019-09-22 00:00:00","72.000","353.000","3.200","23.800","0.790","999.200","","0.000","-99.000","-99.000","-99.000","27.600","","22.800",""
"C0A9E0","2019-09-22 00:00:00","26.000","33.000","1.200","21.900","0.900","1006.300","","42.500","-99.000","-99.000","-99.000","22.400","","20.300",""
"C0R480","2019-09-22 00:00:00","57.000","346.000","1.800","24.000","0.820","1001.100","","0.000","-99.000","-99.000","-99.000","27.600","","22.700",""
"C0X300","2019-09-22 00:00:00","70.000","114.000","2.000","23.000","0.810","999.500","","0.000","-99.000","-99.000","-99.000","27.300","","20.000",""
"C0U970","2019-09-22 00:00:00","7.000","243.000","1.500","24.700","0.650","1007.700","","0.500","-99.000","-99.000","-99.000","25.700","","23.100",""
"C0M750","2019-09-22 00:00:00","10.000","59.000","4.900","23.500","0.760","1006.300","","0.000","-99.000","-99.000","-99.000","27.600","","23.400",""
"C0I110","2019-09-22 00:00:00","161.000","87.000","1.600","22.700","0.810","990.200","","0.000","-99.000","-99.000","-99.000","26.400","","22.400",""
"C0V370","2019-09-22 00:00:00","74.000","46.000","0.700","23.100","0.810","999.800","","0.000","-99.000","-99.000","-99.000","28.000","","22.100",""
"C0C690","2019-09-22 00:00:00","242.000","221.000","0.800","19.900","0.850","981.200","","80.500","-99.000","-99.000","-99.000","20.100","","18.100",""
"C0A540","2019-09-22 00:00:00","401.000","350.000","0.500","19.800","0.880","962.000","","27.000","-99.000","-99.000","-99.000","19.800","","17.600",""
"C0H950","2019-09-22 00:00:00","192.000","0.000","0.200","22.000","0.900","987.400","","0.000","-99.000","-99.000","-99.000","26.800","","21.200",""
"C0O960","2019-09-22 00:00:00","112.000","16.000","2.000","22.500","0.820","995.100","","0.000","-99.000","-99.000","-99.000","26.600","","21.500",""
"C0AH10","2019-09-22 00:00:00","30.000","267.000","2.600","22.800","0.870","1004.200","","25.000","-99.000","-99.000","-99.000","23.400","","20.000",""
"C0R680","2019-09-22 00:00:00","13.000","42.000","2.200","24.800","-99.000","1006.000","","14.000","-99.000","-99.000","-99.000","28.800","","24.500",""
"C0D430","2019-09-22 00:00:00","87.000","0.000","0.000","20.600","0.990","998.300","","8.500","-99.000","-99.000","-99.000","24.100","","19.800",""
"C0AD30","2019-09-22 00:00:00","20.000","22.000","0.500","22.500","0.870","1004.600","","40.000","-99.000","-99.000","-99.000","22.700","","21.000",""
"C0R240","2019-09-22 00:00:00","87.000","41.000","0.600","23.100","0.970","997.100","","0.000","-99.000","-99.000","-99.000","26.300","","22.000",""
"C0AI30","2019-09-22 00:00:00","26.000","0.000","0.100","22.900","0.860","1006.700","","24.500","-99.000","-99.000","-99.000","22.900","","20.000",""
"C0U960","2019-09-22 00:00:00","1885.000","360.000","0.600","13.500","0.980","811.300","","27.000","-99.000","-99.000","-99.000","17.200","","11.900",""
"C0T9E0","2019-09-22 00:00:00","415.000","0.000","0.000","21.800","0.960","962.000","","46.500","-99.000","-99.000","-99.000","26.500","","21.700",""
"C0D550","2019-09-22 00:00:00","1956.000","294.000","0.400","12.200","0.970","808.900","","21.500","-99.000","-99.000","-99.000","14.900","","10.300",""
"C0C630","2019-09-22 00:00:00","209.000","190.000","3.700","20.800","0.860","985.200","","15.000","-99.000","-99.000","-99.000","22.400","","18.400",""
"C0I380","2019-09-22 00:00:00","258.000","111.000","1.200","21.900","0.980","978.400","","0.000","-99.000","-99.000","-99.000","26.500","","21.900",""
"C0D560","2019-09-22 00:00:00","147.000","161.000","2.100","21.200","0.890","992.700","","7.500","-99.000","-99.000","-99.000","24.700","","19.500",""
"C0Z220","2019-09-22 00:00:00","589.000","0.000","0.100","20.900","0.990","943.500","","9.500","-99.000","-99.000","-99.000","25.000","","20.400",""
"C0R220","2019-09-22 00:00:00","23.000","49.000","1.000","24.600","0.900","1004.900","","0.000","-99.000","-99.000","-99.000","28.900","","23.400",""
